code,name,line,district,lat,lng
S0701,숭실대입구,7호선,동작구,37.496282,126.953491
S0702,남성,7호선,동작구,37.484201,126.971286
S0201,사당,2호선,동작구,37.476536,126.981631
S0401,사당,4호선,동작구,37.476536,126.981631
S0703,상도,7호선,동작구,37.502780,126.947780
S0704,장승배기,7호선,동작구,37.504720,126.939170
S0705,이수,7호선,동작구,37.487780,126.981940
S0706,신대방삼거리,7호선,동작구,37.499720,126.928330
S0202,신대방,2호선,동작구,37.487333,126.912972
S0101,노량진,1호선,동작구,37.514167,126.942917
S0901,노량진,9호선,동작구,37.513500,126.940194
S0902,흑석,9호선,동작구,37.508890,126.963610
S0903,노들,9호선,동작구,37.512726,126.953096
S0402,이수,4호선,동작구,37.487780,126.981940
S0403,동작,4호선,동작구,37.502780,126.980280
S0904,동작,9호선,동작구,37.502780,126.980280